internalTaxonId,scientificName,name,language,main
22680647,Indicator meliphilus,Eastern Least Honeyguide,English,FALSE
22680647,Indicator meliphilus,Indicateur pâle,French,FALSE
22680647,Indicator meliphilus,Pallid Honeyguide,English,TRUE
22680694,Picumnus innominatus,Speckled Piculet,English,TRUE
22680753,Picumnus albosquamatus,White-wedged Piculet,English,TRUE
22680768,Picumnus castelnau,Plain-breasted Piculet,English,TRUE
22680777,Picumnus granadensis,Grayish Piculet,English,FALSE
22680777,Picumnus granadensis,Greyish Piculet,English,TRUE
22680831,Melanerpes cactorum,White-fronted Woodpecker,English,TRUE
22680834,Melanerpes striatus,Hispaniolan Woodpecker,English,TRUE
22680871,Sphyrapicus nuchalis,Red-naped Sapsucker,English,TRUE
22680874,Sphyrapicus ruber,Red-breasted Sapsucker,English,TRUE
22680906,Campethera mombassica,Pic de Mombasa,French,FALSE
22680906,Campethera mombassica,Mombasa Woodpecker,English,TRUE
