internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
22708195,Neocossyphus poensis,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,TURDIDAE,Neocossyphus,poensis,,,,,"(Strickland, 1844)",
22708481,Zoothera andromedae,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,TURDIDAE,Zoothera,andromedae,,,,,"(Temminck, 1826)",
22708608,Myadestes unicolor,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,TURDIDAE,Myadestes,unicolor,,,,,"Sclater, 1857",
22708676,Turdus flavipes,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,TURDIDAE,Turdus,flavipes,,,,,"(Vieillot, 1818)",
22708684,Turdus leucops,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,TURDIDAE,Turdus,leucops,,,,,"(Taczanowski, 1877)",
22708753,Turdus hortulorum,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,TURDIDAE,Turdus,hortulorum,,,,,"Sclater, 1863",
22708762,Turdus cardis,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,TURDIDAE,Turdus,cardis,,,,,"Temminck, 1831",
22708803,Turdus celaenops,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,TURDIDAE,Turdus,celaenops,,,,,"Stejneger, 1887",
22708822,Turdus philomelos,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,TURDIDAE,Turdus,philomelos,,,,,"Brehm, 1831",
22708851,Turdus infuscatus,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,TURDIDAE,Turdus,infuscatus,,,,,"(Lafresnaye, 1844)",
22708869,Turdus reevei,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,TURDIDAE,Turdus,reevei,,,,,"Lawrence, 1870",
22708888,Turdus leucomelas,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,TURDIDAE,Turdus,leucomelas,,,,,"Vieillot, 1818",
22708894,Turdus plebejus,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,TURDIDAE,Turdus,plebejus,,,,,"Cabanis, 1861",
22708902,Turdus lawrencii,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,TURDIDAE,Turdus,lawrencii,,,,,"Coues, 1880",
22708919,Turdus nudigenis,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,TURDIDAE,Turdus,nudigenis,,,,,"Lafresnaye, 1848",
22708925,Turdus maculirostris,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,TURDIDAE,Turdus,maculirostris,,,,,"Berlepsch & Taczanowski, 1883",
22708961,Turdus rufitorques,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,TURDIDAE,Turdus,rufitorques,,,,,"Hartlaub, 1844",
22709031,Empidornis semipartitus,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,MUSCICAPIDAE,Empidornis,semipartitus,,,,,"(Rüppell, 1840)","Previously listed as Melaenornis semipartitus (del Hoyo and Collar 2016) and before that as Empidornis semipartitus. Genetic analyses (Voelker et al. 2016) and clear differences in behaviour and ecology favour the return of this species to a monotypic genus. Clinal increase in wing length, from 82–95 mm in Sudan to 95–101 mm in E Africa; proposed subspecies kavirondensis (NE Uganda, W Kenya and Tanzania) considered to represent part of this cline. Monotypic."
22709085,Melaenornis pammelaina,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,MUSCICAPIDAE,Melaenornis,pammelaina,,,,,"(Stanley, 1814)",
22709196,Muscicapa gambagae,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,MUSCICAPIDAE,Muscicapa,gambagae,,,,,"(Alexander, 1901)",
22709200,Muscicapa griseisticta,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,MUSCICAPIDAE,Muscicapa,griseisticta,,,,,"(Swinhoe, 1861)",
22709211,Muscicapa randi,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,MUSCICAPIDAE,Muscicapa,randi,,,,,"Amadon & duPont, 1970",
22709239,Muscicapa aquatica,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,MUSCICAPIDAE,Muscicapa,aquatica,,,,,"Heuglin, 1864",
22709261,Muscicapa epulata,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,MUSCICAPIDAE,Muscicapa,epulata,,,,,"(Cassin, 1855)",
22709266,Muscicapa sethsmithi,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,MUSCICAPIDAE,Muscicapa,sethsmithi,,,,,"(van Someren, 1922)",
22709280,Muscicapa cassini,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,MUSCICAPIDAE,Muscicapa,cassini,,,,,"Heine, 1859",
22709637,Sheppardia cyornithopsis,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,MUSCICAPIDAE,Sheppardia,cyornithopsis,,,,,"(Sharpe, 1901)",
22709858,Xenocopsychus ansorgei,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,MUSCICAPIDAE,Xenocopsychus,ansorgei,,,,,"Hartert, 1907",
22709882,Tychaedon leucosticta,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,MUSCICAPIDAE,Tychaedon,leucosticta,,,,,"(Sharpe, 1883)",Tychaedon leucosticta (del Hoyo and Collar 2016) was previously listed as Erythropygia leucosticta.
22709909,Tychaedon signata,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,MUSCICAPIDAE,Tychaedon,signata,,,,,"(Sundevall, 1850)",Tychaedon signata (del Hoyo and Collar 2016) was previously listed as Erythropygia signata.
22710023,Copsychus fulicatus,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,MUSCICAPIDAE,Copsychus,fulicatus,,,,,"(Linnaeus, 1766)","Previously listed as Saxicoloides fulicatus (del Hoyo and Collar 2016) but moved to Copsychus on the basis of unpublished genetic data (Per Alström, in litt. via WGAC) that support a broad Copsychus. Races intergrade. Five subspecies recognized."
