assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
217500564,216559150,Eugenes spectabilis,ANIMALIA,CHORDATA,CAPRIMULGIFORMES,AVES,TROCHILIDAE,Eugenes,spectabilis,,,,"(Lawrence, 1867)",Least Concern,,3.1,Stable,Global
217503031,22731912,Archboldia papuensis,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PTILONORHYNCHIDAE,Archboldia,papuensis,,,,"Rand, 1940",Least Concern,,3.1,Stable,Global
217506699,216558493,Gallinago magellanica,ANIMALIA,CHORDATA,CHARADRIIFORMES,AVES,SCOLOPACIDAE,Gallinago,magellanica,,,,"(King, PP, 1828)",Least Concern,,3.1,Decreasing,Global
217550252,216918900,Tunchiornis ochraceiceps,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,VIREONIDAE,Tunchiornis,ochraceiceps,,,,"(Sclater, P.L., 1860)",Least Concern,,3.1,Decreasing,Global
217550818,103687306,Myzomela longirostris,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MELIPHAGIDAE,Myzomela,longirostris,,,,"Mayr &amp; Rand, 1935",Least Concern,,3.1,Stable,Global
217555912,103693800,Tunchiornis luteifrons,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,VIREONIDAE,Tunchiornis,luteifrons,,,,"(Sclater, 1881)",Least Concern,,3.1,Decreasing,Global
217569934,216918911,Tunchiornis rubrifrons,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,VIREONIDAE,Tunchiornis,rubrifrons,,,,"(Sclater, P.L. &amp; Salvin, 1867)",Least Concern,,3.1,Decreasing,Global
217572709,22706091,Loboparadisea sericea,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,CNEMOPHILIDAE,Loboparadisea,sericea,,,,"Rothschild, 1896",Least Concern,,3.1,Stable,Global
217577217,216918514,Melopyrrha grandis,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,THRAUPIDAE,Melopyrrha,grandis,,,,"(Lawrence, 1881)",Critically Endangered,D,3.1,Unknown,Global
217597893,22707310,Symposiachrus infelix,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MONARCHIDAE,Symposiachrus,infelix,,,,"(Sclater, 1877)",Near Threatened,B1b(iii),3.1,Decreasing,Global
217607946,22687813,Coeligena prunellei,ANIMALIA,CHORDATA,CAPRIMULGIFORMES,AVES,TROCHILIDAE,Coeligena,prunellei,,,,"(Bourcier, 1843)",Vulnerable,C2a(ii),3.1,Decreasing,Global
217618041,103702640,Edolisoma nesiotis,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,CAMPEPHAGIDAE,Edolisoma,nesiotis,,,,"(Hartlaub &amp; Finsch, 1872)",Endangered,D,3.1,Stable,Global
217619596,22704193,Philemon fuscicapillus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MELIPHAGIDAE,Philemon,fuscicapillus,,,,"(Wallace, 1862)",Near Threatened,B1b(iii),3.1,Decreasing,Global
217626399,22701407,Dysithamnus occidentalis,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,THAMNOPHILIDAE,Dysithamnus,occidentalis,,,,"(Chapman, 1923)",Near Threatened,C2a(i),3.1,Decreasing,Global
217656003,103881133,Cichlopsis chubbi,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,TURDIDAE,Cichlopsis,chubbi,,,,"Chapman, 1924",Near Threatened,C2a(i),3.1,Decreasing,Global
217666270,103713873,Symposiachrus barbatus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MONARCHIDAE,Symposiachrus,barbatus,,,,"(Ramsay, 1879)",Least Concern,,3.1,Decreasing,Global
217672111,22729445,Guyramemua affinis,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,TYRANNIDAE,Guyramemua,affinis,,,,"(Burmeister, 1856)",Near Threatened,A2bc,3.1,Decreasing,Global
217673972,22707307,Symposiachrus brehmii,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MONARCHIDAE,Symposiachrus,brehmii,,,,"(Schlegel, 1871)",Near Threatened,B1b(iii),3.1,Decreasing,Global
217678691,22702642,Spartonoica maluroides,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,FURNARIIDAE,Spartonoica,maluroides,,,,"(d'Orbigny &amp; Lafresnaye, 1837)",Least Concern,,3.1,Decreasing,Global
217814601,216556469,Cisticola bakerorum,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,CISTICOLIDAE,Cisticola,bakerorum,,,,"Fjeldså et al., 2021",Vulnerable,A3c+4c; C2a(ii),3.1,Decreasing,Global
217816487,22702639,Clibanornis dendrocolaptoides,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,FURNARIIDAE,Clibanornis,dendrocolaptoides,,,,"(Pelzeln, 1859)",Least Concern,,3.1,Decreasing,Global
217847986,22682050,Andigena laminirostris,ANIMALIA,CHORDATA,PICIFORMES,AVES,RAMPHASTIDAE,Andigena,laminirostris,,,,"Gould, 1851",Near Threatened,A2cd,3.1,Decreasing,Global
